# 1.因为最初全量导入PAAS平台时，模型唯一标识是由“模型名+日期”组成，后续批次新增的模型日期又与最初的导入的日期不一样，
#  所以导致模型唯一标识没有规律，不方便管理。因此以下这些模型唯一标识是从PAAS平台导出，方便后续更新模型时模型唯一标识不会有变化。
# 2.除了以下模型，后续新增的模型导入PAAS，模型唯一标识都是与模型名一样。
DATANAME,XMLID
TO_R_BLANKSIM_SALE_D,TO_R_BLANKSIM_SALE_D_20161017
TS_SJDCRM_BASS_SRVC_FUNC_MO,TS_SJDCRM_BASS_SRVC_FUNC_MO_20161017
TS_SJDCRM_BASS_CORP_PRDCT_IDAY,TS_SJDCRM_BASS_CORP_PRDCT_IDAY_20161017
TT_TERM_BRND_MAP,TT_TERM_BRND_MAP_20161017
TT_TERM_BRND_REL_HIS,TT_TERM_BRND_REL_HIS_20161017
TR_TERM_MDL_HIS,TR_TERM_MDL_HIS_20161017
TR_TERM_ATR_VAL_HIS,TR_TERM_ATR_VAL_HIS_20161017
TR_TERM_BRND_HIS,TR_TERM_BRND_HIS_20161017
TR_YK_WARN_LVL_DEPLOY,TR_YK_WARN_LVL_DEPLOY_20161017
TR_TERM_MIFI_CARD_TAC_D,TR_TERM_MIFI_CARD_TAC_D_20161017
TO_TAC_TERM_MDL,TO_TAC_TERM_MDL_20161017
TO_TERM_DS_JT_INF_M,TO_TERM_DS_JT_INF_M_20161017
TS_CUSTM_IMEI_INF,TS_CUSTM_IMEI_INF_20161017
TS_E_WLAN_BILL_D,TS_E_WLAN_BILL_D_20161017
TS_E_SCP_RECHARGE_BILL_D,TS_E_SCP_RECHARGE_BILL_D_20161017
TS_F_SSBUSI_SETTLE_DTL_RPT_M,TS_F_SSBUSI_SETTLE_DTL_RPT_M_20161017
TS_O_SMSBUSI_RPT_M,TS_O_SMSBUSI_RPT_M_20161017
TS_O_G3_BUSI_RPT_M,TS_O_G3_BUSI_RPT_M_20161017
TS_EB_FBOSS_FIXEDFEE_DIV_RPT_M,TS_EB_FBOSS_FIXEDFEE_DIV_RPT_M_20161017
TS_O_SMS_BUSI_RPT_M,TS_O_SMS_BUSI_RPT_M_20161017
TS_EB_JSUSR_REALTIM_DISCT_M,TS_EB_JSUSR_REALTIM_DISCT_M_20161017
TS_E_MERGE_CDR_D,TS_E_MERGE_CDR_D_20161017
TS_E_POSITION_SERV_FEE_M,TS_E_POSITION_SERV_FEE_M_20161017
TS_O_SP_BUSI_CODE_INF_D,TS_O_SP_BUSI_CODE_INF_D_20161017
TS_O_SP_ENTERP_CODE_INF_D,TS_O_SP_ENTERP_CODE_INF_D_20161017
TS_E_BOSS3_ORDR_RELA_M,TS_E_BOSS3_ORDR_RELA_M_20161017
TS_O_SP_CODE_MUSIC_D,TS_O_SP_CODE_MUSIC_D_20161017
TS_F_SP_SETTLE_M,TS_F_SP_SETTLE_M_20161017
TS_E_VOD_SP_BUSI_D,TS_E_VOD_SP_BUSI_D_20161017
TO_SJDCRM_BASS_EBOX_PAY_ADAY,TO_SJDCRM_BASS_EBOX_PAY_ADAY_20161017
TR_SJDCRM_BASS_PRDCT,TR_SJDCRM_BASS_PRDCT_20161017
TS_E_VGOP_ORDR_RELA_M,TS_E_VGOP_ORDR_RELA_M_20161017
TS_E_VGOP_ORDR_RELA_D,TS_E_VGOP_ORDR_RELA_D_20161017
TM_JF_SP_OTH_MO,TM_JF_SP_OTH_MO_20161017
TM_JF_SP_SMS_MO,TM_JF_SP_SMS_MO_20161017
TS_E_VGOP1_GAMEPKG_KPI_M,TS_E_VGOP1_GAMEPKG_KPI_M_20161017
TS_O_VGOP1_GAME_BUSI_KPI_D,TS_O_VGOP1_GAME_BUSI_KPI_D_20161017
TS_E_VGOP1_GAME_LOGINUSR_D,TS_E_VGOP1_GAME_LOGINUSR_D_20161017
TS_E_VGOP1_GAME_USRCNT_KPI_M,TS_E_VGOP1_GAME_USRCNT_KPI_M_20161017
TS_E_VGOP1_GAME_INF_PRICE_M,TS_E_VGOP1_GAME_INF_PRICE_M_20161017
TS_P_VGOP1_GAME_PAYUSR_M,TS_P_VGOP1_GAME_PAYUSR_M_20161017
TS_P_VGOP1_GAME_DOWNUSR_M,TS_P_VGOP1_GAME_DOWNUSR_M_20161017
TS_E_VGOP1_GAME_BUSI_KPI_M,TS_E_VGOP1_GAME_BUSI_KPI_M_20161017
TS_E_VGOP1_GAME_LOGINUSR_M,TS_E_VGOP1_GAME_LOGINUSR_M_20161017
TS_E_VGOP1_MREAD_INCOME_KPI_D,TS_E_VGOP1_MREAD_INCOME_KPI_D_20161017
TS_E_VGOP1_MREAD_INCOME_KPI_M,TS_E_VGOP1_MREAD_INCOME_KPI_M_20161017
TS_E_VGOP1_MREAD_USRGROW_KPI_D,TS_E_VGOP1_MREAD_USRGROW_KPI_D_20161017
TS_E_VGOP1_MREAD_USRGROW_KPI_M,TS_E_VGOP1_MREAD_USRGROW_KPI_M_20161017
TS_E_VGOP1_MREAD_USE_USRCNT_KPI_D,TS_E_VGOP1_MREAD_USE_USRCNT_KPI_D_20161017
TR_SCHOOL_INF,TR_SCHOOL_INF_20161017
TO_STUDENT_CMNCT_INF,TO_STUDENT_CMNCT_INF_20161017
TW_SHL_STUD_MO,TW_SHL_STUD_MO_20161017
TO_MM_USR_VISIT_DAY,TO_MM_USR_VISIT_DAY_20161017
TO_YIKATONG_ACTIVE_USR_MO,TO_YIKATONG_ACTIVE_USR_MO_20161017
TS_RHJF_CELL_DATA_D_HY,TS_RHJF_CELL_DATA_D_HY_20161128
TO_MOBGAME_USE_ADAY,TO_MOBGAME_USE_ADAY_20161017
TO_MOBGAME_PKG_ORDER_ADAY,TO_MOBGAME_PKG_ORDER_ADAY_20161017
TR_MOBGAME_BUSI_INF,TR_MOBGAME_BUSI_INF_20161017
TS_O_INTERNET_CHNL_HIS_M_HY,TS_O_INTERNET_CHNL_HIS_M_HY_20161128
TW_NB_SECUR_BUSI_M_HY,TW_NB_SECUR_BUSI_M_HY_20161128
TO_E_RFID_SIM_USR_M,TO_E_RFID_SIM_USR_M_20161017
TW_NB_SECUR_BUSI_D_HY,TW_NB_SECUR_BUSI_D_HY_20161128
TW_NB_COM139_BUSI_D_HY,TW_NB_COM139_BUSI_D_HY_20161128
TO_CRM_ACPT_OPER_INF_D_HY,TO_CRM_ACPT_OPER_INF_D_HY_20161128
TS_O_SYS_PARAM_M_HY,TS_O_SYS_PARAM_M_HY_20161128
TW_SJDCRM_BASS_EBOX_MO_HY,TW_SJDCRM_BASS_EBOX_MO_HY_20161128
ZJ_TO_BASS_USR_STS_CHG_LOG,ZJ_TO_BASS_USR_STS_CHG_LOG_20161101
ZJ_TO_BASS_VP_MEM_CNCT_DAY,ZJ_TO_BASS_VP_MEM_CNCT_DAY_20161101
ZJ_TO_BASS_VPMN_MEMBER,ZJ_TO_BASS_VPMN_MEMBER_20161101
ZJ_TO_BASS_WORKF_ACCT_MO,ZJ_TO_BASS_WORKF_ACCT_MO_20161101
ZJ_TO_BASS_WORKF_CUST_MO,ZJ_TO_BASS_WORKF_CUST_MO_20161101
ZJ_TO_BASS_WORKF_RES_LOG,ZJ_TO_BASS_WORKF_RES_LOG_20161101
TR_TAC_TERM,TR_TAC_TERM_20161017
TT_TERM_ATR_CNCT_REL,TT_TERM_ATR_CNCT_REL_20161017
TS_SJDCRM_CORP_MEMB_MARK_PLAN_IDAY,TS_SJDCRM_CORP_MEMB_MARK_PLAN_IDAY_20161017
TO_BASS_RES_OPRLOG,TO_BASS_RES_OPRLOG_20161017
TW_USR_OTH_PAY_DAY,TW_USR_OTH_PAY_DAY_20161017
TW_USR_DF_PAY_DAY,TW_USR_DF_PAY_DAY_20161017
TW_USR_PRDCT_FIXFEE_DAY,TW_USR_PRDCT_FIXFEE_DAY_20161017
TW_USR_PRDCT_VOC_DAY,TW_USR_PRDCT_VOC_DAY_20161017
TW_USR_PRDCT_WLAN_DAY,TW_USR_PRDCT_WLAN_DAY_20161017
TW_USR_PRDCT_GPRS_DAY,TW_USR_PRDCT_GPRS_DAY_20161017
TS_MARKPLAN_PROJ,TS_MARKPLAN_PROJ_20161017
TS_E_VGOP1_12580_SMS_STS_RPT_D,TS_E_VGOP1_12580_SMS_STS_RPT_D_20161017
TS_E_VGOP1_12580_MMS_DOWN_D,TS_E_VGOP1_12580_MMS_DOWN_D_20161017
TS_O_VGOP1_BSV1_CHECK_KPI_M,TS_O_VGOP1_BSV1_CHECK_KPI_M_20161017
TS_O_VGOP1_BSV1_CHECK_DTL_D,TS_O_VGOP1_BSV1_CHECK_DTL_D_20161017
TS_O_VGOP1_BSV1_CHECK_DTL_M,TS_O_VGOP1_BSV1_CHECK_DTL_M_20161017
TS_O_VGOP1_CHK_STRGY_CD_D,TS_O_VGOP1_CHK_STRGY_CD_D_20161017
TS_O_VGOP1_CHK_ELEM_CD_D,TS_O_VGOP1_CHK_ELEM_CD_D_20161017
TS_E_VOICECALL_ROAM_DIAL_TEST1_D,TS_E_VOICECALL_ROAM_DIAL_TEST1_D_20161017
TS_E_VOICECALL_ROAM_TEST_D,TS_E_VOICECALL_ROAM_TEST_D_20161017
TS_E_BANK_RECHARGE_BILL_M,TS_E_BANK_RECHARGE_BILL_M_20161017
TS_E_INPPS_RECHARGE_BILL_D,TS_E_INPPS_RECHARGE_BILL_D_20161017
TS_E_BANK_RECHARGE_BILL_D,TS_E_BANK_RECHARGE_BILL_D_20161017
TS_E_VOICE_PVCALL_BJRAOM1_D,TS_E_VOICE_PVCALL_BJRAOM1_D_20161017
TS_E_VOICECALL_ROAM_DIAL_TEST2_D,TS_E_VOICECALL_ROAM_DIAL_TEST2_D_20161017
TS_E_YXHD_BUSI_ROAM_BILL_D,TS_E_YXHD_BUSI_ROAM_BILL_D_20161017
TS_E_INUCC_RECHARGE_BILL_D,TS_E_INUCC_RECHARGE_BILL_D_20161017
TS_E_VOICE_GJCALL_RAOM_D,TS_E_VOICE_GJCALL_RAOM_D_20161017
TW_USR_NB_DIS_MOFEE_MO,TW_USR_NB_DIS_MOFEE_MO_20161017
TO_BUSI_PLTFM_NBR,TO_BUSI_PLTFM_NBR_20161017
TW_USR_NBUSE_DAY,TW_USR_NBUSE_DAY_20161017
TW_USR_NBUSE_MO,TW_USR_NBUSE_MO_20161017
TO_CHNL_BASE_INF,TO_CHNL_BASE_INF_20161017
TW_BASS_EBOX_BAL_RTN_MO,TW_BASS_EBOX_BAL_RTN_MO_20161017
TW_SJDCRM_BASS_EBOX_PAY_MO,TW_SJDCRM_BASS_EBOX_PAY_MO_20161017
TR_SJDCRM_DICT_ITEM,TR_SJDCRM_DICT_ITEM_20161017
TR_IOT_ATR,TR_IOT_ATR_20161017
TW_SHL_AREA_CUST_MO,TW_SHL_AREA_CUST_MO_20161017
TO_E_MOBREAD_MO_ORDR_M,TO_E_MOBREAD_MO_ORDR_M_20161017
TO_E_MOBREAD_MO_ORDR_D,TO_E_MOBREAD_MO_ORDR_D_20161017
TS_E_SP_CODE_FMUSIC_D,TS_E_SP_CODE_FMUSIC_D_20161017
TS_E_SP_INF_FMUSIC_D,TS_E_SP_INF_FMUSIC_D_20161017
TS_E_SP_INF_MUSIC_D,TS_E_SP_INF_MUSIC_D_20161017
TS_O_CMWAP_SP_M,TS_O_CMWAP_SP_M_20161017
TS_O_C2N_INF_D,TS_O_C2N_INF_D_20161017
TS_O_CMWAP_SMS_SP_M,TS_O_CMWAP_SMS_SP_M_20161017
TS_O_CMWAP_FSMS_SP_M,TS_O_CMWAP_FSMS_SP_M_20161017
TS_E_OTHPVUSR_LOCAL_CMWAPSMS_M,TS_E_OTHPVUSR_LOCAL_CMWAPSMS_M_20161017
TS_EB_FEE_BACK_M,TS_EB_FEE_BACK_M_20161017
TS_EB_NOHOST_BILL_M,TS_EB_NOHOST_BILL_M_20161017
TS_E_GBOX_BUSI_USR_OTHPROV_M,TS_E_GBOX_BUSI_USR_OTHPROV_M_20161017
TS_E_DEAD_USR_M,TS_E_DEAD_USR_M_20161017
TS_E_HIGH_USR_M,TS_E_HIGH_USR_M_20161017
TO_SJDCRM_CHNL_BASE_INF,TO_SJDCRM_CHNL_BASE_INF_20161017
TS_BASS_USR_ADAY,TS_BASS_USR_ADAY_20161017
TS_SJDCRM_BASS_USR_ADAY,TS_SJDCRM_BASS_USR_ADAY_20161017
ZJ_TO_CXCRM_BCKLIST,ZJ_TO_CXCRM_BCKLIST_20161101
ZJ_TO_CXCRM_CORPRDCT_ATTR,ZJ_TO_CXCRM_CORPRDCT_ATTR_20161101
ZJ_TO_CXCRM_CUST_ORDER_DAY,ZJ_TO_CXCRM_CUST_ORDER_DAY_20161101
ZJ_TO_CXCRM_ODRFEE_DTL_DAY,ZJ_TO_CXCRM_ODRFEE_DTL_DAY_20161101
ZJ_TO_CXCRM_ODR_PRDCT_DAY,ZJ_TO_CXCRM_ODR_PRDCT_DAY_20161101
ZJ_TO_CXCRM_ORDER_BACK_DAY,ZJ_TO_CXCRM_ORDER_BACK_DAY_20161101
ZJ_TO_CXCRM_ORDER_DIL_DAY,ZJ_TO_CXCRM_ORDER_DIL_DAY_20161101
ZJ_TO_CXCRM_ORDER_RELA_MO,ZJ_TO_CXCRM_ORDER_RELA_MO_20161101
ZJ_TO_CXCRM_ORDER_FEE_DAY,ZJ_TO_CXCRM_ORDER_FEE_DAY_20161101
ZJ_TO_E_INVC_REC_DAY,ZJ_TO_E_INVC_REC_DAY_20161101
ZJ_TO_E_INVC_RES_DAY,ZJ_TO_E_INVC_RES_DAY_20161101
ZJ_TO_E_INV_ORDER_RELA_MO,ZJ_TO_E_INV_ORDER_RELA_MO_20161101
ZJ_TO_E_PRDCT_SRV_REL_D,ZJ_TO_E_PRDCT_SRV_REL_D_20161101
ZJ_TO_E_USR_LOGIN_LOG_D,ZJ_TO_E_USR_LOGIN_LOG_D_20161101
ZJ_TO_E_WORKF_HIS_D,ZJ_TO_E_WORKF_HIS_D_20161101
ZJ_TO_HR_DUR_DAY,ZJ_TO_HR_DUR_DAY_20161101
ZJ_TO_IMEI_SEQ,ZJ_TO_IMEI_SEQ_20161101
ZJ_TO_IMEI_SEQ_MO,ZJ_TO_IMEI_SEQ_MO_20161101
ZJ_TO_O_ACPT_PAY_MDE_LOG_D,ZJ_TO_O_ACPT_PAY_MDE_LOG_D_20161101
ZJ_TO_O_SRV_ADD_ATTR_M,ZJ_TO_O_SRV_ADD_ATTR_M_20161101
ZJ_TO_O_SRV_ADD_ATTR_D,ZJ_TO_O_SRV_ADD_ATTR_D_20161101
TS_E_VGOP1_CHK_BUSI_CD_D,TS_E_VGOP1_CHK_BUSI_CD_D_20161017
TS_O_DSP_DATA_BUSI_CHKKPI_M,TS_O_DSP_DATA_BUSI_CHKKPI_M_20161017
TS_E_DSP_TCMP_IVR_M,TS_E_DSP_TCMP_IVR_M_20161017
TS_E_DSP_YQWB_SP_ORDR_RELA_D,TS_E_DSP_YQWB_SP_ORDR_RELA_D_20161017
TS_P_DSP_MOB_NEWSPAPER_USR_D,TS_P_DSP_MOB_NEWSPAPER_USR_D_20161017
TS_O_DSP_MOB_NEWSPAPER_BUSI_M,TS_O_DSP_MOB_NEWSPAPER_BUSI_M_20161017
TS_O_DSP_MOB_NEWSPAPER_BUSI_D,TS_O_DSP_MOB_NEWSPAPER_BUSI_D_20161017
TS_E_DSP_139MAIL_SP_M,TS_E_DSP_139MAIL_SP_M_20161017
TS_E_DSP_WAP_BUSI_ACCESS_D,TS_E_DSP_WAP_BUSI_ACCESS_D_20161017
TS_P_DSP_HYT_USR_M,TS_P_DSP_HYT_USR_M_20161017
TW_NB_SECUR_BUSI_M,TW_NB_SECUR_BUSI_M_20161017
TO_CORP_WOFF_BAL_FLOW_M,TO_CORP_WOFF_BAL_FLOW_M_20161017
TO_CORP_DEL_PRDFEE_WOFF_FLOW_M,TO_CORP_DEL_PRDFEE_WOFF_FLOW_M_20161017
TO_CORP_HF_CZ_LOG_DET_FLOW_M,TO_CORP_HF_CZ_LOG_DET_FLOW_M_20161017
TS_O_DSMP_ORDR_D,TS_O_DSMP_ORDR_D_20161017
TW_CORP_BILL_M,TW_CORP_BILL_M_20161017
TR_CORP_YJ_PRD_TYP,TR_CORP_YJ_PRD_TYP_20161017
TW_CORP_TF_EBOX_RELA_M,TW_CORP_TF_EBOX_RELA_M_20161017
TW_CORP_MBR_ORDER_M,TW_CORP_MBR_ORDER_M_20161017
TW_ADC_CORP_MEMBER_MO,TW_ADC_CORP_MEMBER_MO_20161017
TO_ADC_CORP_MEMBER,TO_ADC_CORP_MEMBER_20161017
TO_ADC_CORP_MEMBER_ADAY,TO_ADC_CORP_MEMBER_ADAY_20161017
TW_CORP_MAS_DATA_RAW,TW_CORP_MAS_DATA_RAW_20161017
TW_CORP_INDAPPLY_USEUSR,TW_CORP_INDAPPLY_USEUSR_20161017
TW_CORP_INDAPPLY_LJUSEUSR,TW_CORP_INDAPPLY_LJUSEUSR_20161017
TW_GUSRCALL_MO,TW_GUSRCALL_MO_20161017
TW_CORP_BUSI_DAY,TW_CORP_BUSI_DAY_20161017
TW_GCUST_CONSUME,TW_GCUST_CONSUME_20161017
TW_CORP_INDAPPLY_CODEBI,TW_CORP_INDAPPLY_CODEBI_20161017
TW_ADC_CORP_USR_MO,TW_ADC_CORP_USR_MO_20161017
TW_CORP_MAS_DATA,TW_CORP_MAS_DATA_20161017
TW_NB_SECUR_BUSI_D,TW_NB_SECUR_BUSI_D_20161017
TS_NB_GPRS_USR_PRDCT_ORDR_D,TS_NB_GPRS_USR_PRDCT_ORDR_D_20161017
TS_LOAD_QY_DEBT_BAL_RPT_MO,TS_LOAD_QY_DEBT_BAL_RPT_MO_20161017
TW_SMSCHNL_RESULT_ADAY,TW_SMSCHNL_RESULT_ADAY_20161017
TW_PERS_CHRG_USR_D,TW_PERS_CHRG_USR_D_20161017
TO_JF_CHRG_USR,TO_JF_CHRG_USR_20161017
TR_AUTO_OPRRSLT,TR_AUTO_OPRRSLT_20161017
TO_10086_CALLLOG,TO_10086_CALLLOG_20161017
TO_10086_KEY_TRACE_LOG,TO_10086_KEY_TRACE_LOG_20161017
